Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number
182,31,113,0.312,Chirp,1,1
182,63,45,0.312,Chirp,1,1
176,34,48,0.312,Chirp,1,1
182,31,112,0.313,Chirp,1,1
182,63,109,0.313,Chirp,1,1
176,34,46,0.313,Chirp,1,1
182,31,112,0.314,Chirp,1,1
182,63,61,0.314,Chirp,1,1
176,34,49,0.314,Chirp,1,1
182,31,112,0.315,Chirp,1,1
182,63,13,0.315,Chirp,1,1
176,34,49,0.315,Chirp,1,1
182,31,111,0.316,Chirp,1,1
182,63,125,0.316,Chirp,1,1
176,34,49,0.316,Chirp,1,1
182,31,111,0.317,Chirp,1,1
182,63,61,0.317,Chirp,1,1
176,34,49,0.317,Chirp,1,1
182,31,111,0.318,Chirp,1,1
182,63,45,0.318,Chirp,1,1
176,34,46,0.318,Chirp,1,1
182,31,110,0.319,Chirp,1,1
182,63,125,0.319,Chirp,1,1
176,34,50,0.319,Chirp,1,1
182,31,110,0.32,Chirp,1,1
182,63,61,0.32,Chirp,1,1
176,34,50,0.32,Chirp,1,1
182,31,110,0.321,Chirp,1,1
182,63,45,0.321,Chirp,1,1
176,34,49,0.321,Chirp,1,1
182,31,110,0.322,Chirp,1,1
182,63,13,0.322,Chirp,1,1
176,34,50,0.322,Chirp,1,1
176,34,47,0.323,Chirp,1,1
182,31,109,0.324,Chirp,1,1
182,63,93,0.324,Chirp,1,1
176,34,50,0.324,Chirp,1,1
182,31,109,0.325,Chirp,1,1
182,63,29,0.325,Chirp,1,1
176,34,50,0.325,Chirp,1,1
176,34,50,0.326,Chirp,1,1
182,31,108,0.327,Chirp,1,1
182,63,125,0.327,Chirp,1,1
176,34,51,0.327,Chirp,1,1
176,34,48,0.328,Chirp,1,1
176,34,52,0.329,Chirp,1,1
176,34,51,0.33,Chirp,1,1
182,31,108,0.331,Chirp,1,1
182,63,109,0.331,Chirp,1,1
176,34,51,0.331,Chirp,1,1
176,34,52,0.332,Chirp,1,1
182,31,108,0.333,Chirp,1,1
182,63,29,0.333,Chirp,1,1
176,34,49,0.333,Chirp,1,1
176,34,53,0.334,Chirp,1,1
176,34,53,0.335,Chirp,1,1
176,34,53,0.336,Chirp,1,1
176,34,53,0.337,Chirp,1,1
176,34,50,0.338,Chirp,1,1
176,34,53,0.339,Chirp,1,1
176,34,54,0.34,Chirp,1,1
176,34,54,0.341,Chirp,1,1
176,34,55,0.342,Chirp,1,1
176,34,53,0.343,Chirp,1,1
176,34,53,0.344,Chirp,1,1
176,34,54,0.345,Chirp,1,1
176,34,55,0.346,Chirp,1,1
176,34,56,0.347,Chirp,1,1
176,34,54,0.348,Chirp,1,1
176,34,56,0.349,Chirp,1,1
176,34,56,0.35,Chirp,1,1
176,34,56,0.351,Chirp,1,1
176,34,57,0.352,Chirp,1,1
176,34,54,0.353,Chirp,1,1
176,34,57,0.354,Chirp,1,1
176,34,57,0.355,Chirp,1,1
176,34,58,0.356,Chirp,1,1
176,34,57,0.357,Chirp,1,1
176,34,58,0.358,Chirp,1,1
176,34,57,0.359,Chirp,1,1
176,34,58,0.36,Chirp,1,1
