Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number
176,34,58,0.297,Stab,1,1
176,34,60,0.299,Stab,1,1
176,34,60,0.299,Stab,1,1
176,34,60,0.3,Stab,1,1
176,34,61,0.301,Stab,1,1
176,34,59,0.302,Stab,1,1
176,34,60,0.303,Stab,1,1
176,34,61,0.305,Stab,1,1
176,34,61,0.306,Stab,1,1
176,34,61,0.307,Stab,1,1
176,34,61,0.307,Stab,1,1
176,34,62,0.309,Stab,1,1
176,34,61,0.31,Stab,1,1
176,34,62,0.311,Stab,1,1
176,34,62,0.312,Stab,1,1
176,34,62,0.313,Stab,1,1
176,34,62,0.314,Stab,1,1
176,34,62,0.315,Stab,1,1
176,34,63,0.316,Stab,1,1
176,34,63,0.317,Stab,1,1
176,34,62,0.318,Stab,1,1
176,34,63,0.319,Stab,1,1
176,34,63,0.32,Stab,1,1
176,34,63,0.321,Stab,1,1
176,34,63,0.323,Stab,1,1
176,34,65,0.33,Stab,1,1
176,34,65,0.334,Stab,1,1
176,34,65,0.336,Stab,1,1
176,34,65,0.337,Stab,1,1
176,34,65,0.338,Stab,1,1
176,34,65,0.34,Stab,1,1
144,54,0,0.34,Stab,1,1
144,54,127,4.063,Stab,2,1
176,34,67,4.063,Stab,2,1
176,34,67,4.065,Stab,2,1
176,34,68,4.066,Stab,2,1
176,34,67,4.066,Stab,2,1
176,34,68,4.067,Stab,2,1
176,34,68,4.068,Stab,2,1
176,34,68,4.069,Stab,2,1
176,34,68,4.071,Stab,2,1
176,34,69,4.071,Stab,2,1
176,34,71,4.072,Stab,2,1
176,34,69,4.074,Stab,2,1
176,34,70,4.075,Stab,2,1
176,34,71,4.075,Stab,2,1
176,34,72,4.077,Stab,2,1
176,34,74,4.077,Stab,2,1
176,34,72,4.079,Stab,2,1
176,34,73,4.08,Stab,2,1
176,34,72,4.081,Stab,2,1
176,34,73,4.082,Stab,2,1
176,34,76,4.083,Stab,2,1
176,34,74,4.083,Stab,2,1
176,34,74,4.085,Stab,2,1
176,34,75,4.085,Stab,2,1
176,34,75,4.086,Stab,2,1
176,34,77,4.087,Stab,2,1
176,34,76,4.088,Stab,2,1
182,31,127,4.089,Stab,2,1
182,63,15,4.089,Stab,2,1
176,34,76,4.089,Stab,2,1
182,31,124,4.09,Stab,2,1
182,63,47,4.09,Stab,2,1
176,34,76,4.09,Stab,2,1
182,31,121,4.091,Stab,2,1
182,63,110,4.091,Stab,2,1
176,34,77,4.091,Stab,2,1
182,31,119,4.093,Stab,2,1
182,63,14,4.093,Stab,2,1
176,34,79,4.093,Stab,2,1
182,31,117,4.093,Stab,2,1
182,63,30,4.093,Stab,2,1
176,34,77,4.093,Stab,2,1
182,31,115,4.095,Stab,2,1
182,63,46,4.095,Stab,2,1
176,34,78,4.095,Stab,2,1
182,31,113,4.095,Stab,2,1
182,63,93,4.095,Stab,2,1
176,34,77,4.095,Stab,2,1
182,31,111,4.096,Stab,2,1
182,63,125,4.096,Stab,2,1
176,34,78,4.096,Stab,2,1
182,31,110,4.097,Stab,2,1
182,63,13,4.097,Stab,2,1
176,34,81,4.097,Stab,2,1
182,31,108,4.099,Stab,2,1
182,63,109,4.099,Stab,2,1
176,34,79,4.099,Stab,2,1
182,31,107,4.099,Stab,2,1
182,63,93,4.099,Stab,2,1
176,34,80,4.099,Stab,2,1
182,31,106,4.101,Stab,2,1
182,63,60,4.101,Stab,2,1
176,34,79,4.101,Stab,2,1
182,31,105,4.101,Stab,2,1
182,63,28,4.101,Stab,2,1
176,34,79,4.101,Stab,2,1
182,31,104,4.102,Stab,2,1
182,63,76,4.102,Stab,2,1
176,34,83,4.102,Stab,2,1
182,31,103,4.103,Stab,2,1
182,63,60,4.103,Stab,2,1
176,34,81,4.103,Stab,2,1
182,31,102,4.105,Stab,2,1
182,63,92,4.105,Stab,2,1
176,34,81,4.105,Stab,2,1
182,31,101,4.106,Stab,2,1
182,63,124,4.106,Stab,2,1
176,34,80,4.106,Stab,2,1
182,31,101,4.106,Stab,2,1
182,63,60,4.106,Stab,2,1
176,34,82,4.106,Stab,2,1
182,31,100,4.108,Stab,2,1
182,63,44,4.108,Stab,2,1
176,34,85,4.108,Stab,2,1
182,31,99,4.109,Stab,2,1
182,63,60,4.109,Stab,2,1
176,34,82,4.109,Stab,2,1
182,31,98,4.11,Stab,2,1
182,63,44,4.11,Stab,2,1
176,34,83,4.11,Stab,2,1
176,34,83,4.11,Stab,2,1
182,31,97,4.111,Stab,2,1
182,63,91,4.111,Stab,2,1
176,34,82,4.111,Stab,2,1
176,34,88,4.112,Stab,2,1
176,34,84,4.113,Stab,2,1
176,34,84,4.115,Stab,2,1
176,34,84,4.115,Stab,2,1
176,34,85,4.117,Stab,2,1
182,31,96,4.117,Stab,2,1
182,63,59,4.117,Stab,2,1
176,34,85,4.117,Stab,2,1
176,34,90,4.119,Stab,2,1
176,34,85,4.119,Stab,2,1
176,34,86,4.12,Stab,2,1
176,34,87,4.122,Stab,2,1
176,34,87,4.123,Stab,2,1
176,34,92,4.123,Stab,2,1
176,34,87,4.125,Stab,2,1
