,Unnamed: 0,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
36990,20681,176,34,70,0.157,Chirp,1,5,1,-143.93100000000035
36991,20773,182,31,127,0.157,Chirp,1,5,1,1.279921875
36992,20682,176,34,70,0.158,Chirp,1,5,1,-143.92500000000035
36993,20773,182,31,127,0.158,Chirp,1,5,1,1.279921875
36994,20683,176,34,71,0.159,Chirp,1,5,1,-143.91800000000035
36995,20773,182,31,127,0.159,Chirp,1,5,1,1.279921875
36996,20684,176,34,70,0.16,Chirp,1,5,1,-143.91200000000035
36997,20773,182,31,127,0.16,Chirp,1,5,1,1.279921875
36998,20685,176,34,69,0.161,Chirp,1,5,1,-143.90700000000035
36999,20773,182,31,127,0.161,Chirp,1,5,1,1.279921875
37000,20686,176,34,69,0.162,Chirp,1,5,1,-143.90200000000036
37001,20773,182,31,127,0.162,Chirp,1,5,1,1.279921875
37002,20687,176,34,69,0.163,Chirp,1,5,1,-143.89700000000036
37003,20773,182,31,127,0.163,Chirp,1,5,1,1.279921875
37004,20688,176,34,70,0.164,Chirp,1,5,1,-143.89100000000036
37005,20773,182,31,127,0.164,Chirp,1,5,1,1.279921875
37006,20689,176,34,69,0.165,Chirp,1,5,1,-143.88600000000037
37007,20773,182,31,127,0.165,Chirp,1,5,1,1.279921875
37008,20690,176,34,68,0.166,Chirp,1,5,1,-143.88200000000035
37009,20773,182,31,127,0.166,Chirp,1,5,1,1.279921875
37010,20691,176,34,68,0.167,Chirp,1,5,1,-143.87800000000038
37011,20773,182,31,127,0.167,Chirp,1,5,1,1.279921875
37012,20692,176,34,67,0.168,Chirp,1,5,1,-143.8750000000004
37013,20773,182,31,127,0.168,Chirp,1,5,1,1.279921875
37014,20693,176,34,68,0.169,Chirp,1,5,1,-143.8710000000004
37015,20773,182,31,127,0.169,Chirp,1,5,1,1.279921875
37016,20694,176,34,67,0.17,Chirp,1,5,1,-143.86800000000042
37017,20773,182,31,127,0.17,Chirp,1,5,1,1.279921875
37018,20695,176,34,68,0.171,Chirp,1,5,1,-143.86400000000043
37019,20773,182,31,127,0.171,Chirp,1,5,1,1.279921875
37020,20696,176,34,67,0.172,Chirp,1,5,1,-143.86100000000044
37021,20773,182,31,127,0.172,Chirp,1,5,1,1.279921875
37022,20697,176,34,66,0.173,Chirp,1,5,1,-143.85900000000044
37023,20773,182,31,127,0.173,Chirp,1,5,1,1.279921875
37024,20698,176,34,67,0.174,Chirp,1,5,1,-143.85600000000045
37025,20773,182,31,127,0.174,Chirp,1,5,1,1.279921875
37026,20699,176,34,66,0.175,Chirp,1,5,1,-143.85400000000044
37027,20773,182,31,127,0.175,Chirp,1,5,1,1.279921875
37028,20700,176,34,66,0.176,Chirp,1,5,1,-143.85200000000043
37029,20773,182,31,127,0.176,Chirp,1,5,1,1.279921875
37030,20701,176,34,66,0.177,Chirp,1,5,1,-143.84800000000044
37031,20773,182,31,127,0.177,Chirp,1,5,1,1.279921875
37032,20701,176,34,66,0.178,Chirp,1,5,1,-143.84800000000044
37033,20773,182,31,127,0.178,Chirp,1,5,1,1.279921875
37034,20703,176,34,66,0.179,Chirp,1,5,1,-143.84600000000043
37035,20773,182,31,127,0.179,Chirp,1,5,1,1.279921875
37036,20704,176,34,65,0.18,Chirp,1,5,1,-143.84500000000045
37037,20773,182,31,127,0.18,Chirp,1,5,1,1.279921875
37038,20705,176,34,65,0.181,Chirp,1,5,1,-143.84300000000042
