,Component_number,Position_number,Velocity,Time_stamp,Scratch_type,Trial_number,Group_number,No.,Position
215,176,34,67,0.188,Flare,1,1,1,1.1980000000000013
307,182,31,127,0.188,Flare,1,1,1,1.279765625
216,176,34,67,0.189,Flare,1,1,1,1.2010000000000014
307,182,31,127,0.189,Flare,1,1,1,1.279765625
217,176,34,67,0.19,Flare,1,1,1,1.2040000000000015
307,182,31,127,0.19,Flare,1,1,1,1.279765625
218,176,34,68,0.191,Flare,1,1,1,1.2080000000000015
307,182,31,127,0.191,Flare,1,1,1,1.279765625
219,176,34,68,0.192,Flare,1,1,1,1.2160000000000015
307,182,31,127,0.192,Flare,1,1,1,1.279765625
219,176,34,68,0.193,Flare,1,1,1,1.2160000000000015
307,182,31,127,0.193,Flare,1,1,1,1.279765625
221,176,34,68,0.194,Flare,1,1,1,1.2240000000000015
307,182,31,127,0.194,Flare,1,1,1,1.279765625
221,176,34,68,0.195,Flare,1,1,1,1.2240000000000015
307,182,31,127,0.195,Flare,1,1,1,1.279765625
223,176,34,69,0.196,Flare,1,1,1,1.2340000000000015
307,182,31,127,0.196,Flare,1,1,1,1.279765625
223,176,34,69,0.197,Flare,1,1,1,1.2340000000000015
307,182,31,127,0.197,Flare,1,1,1,1.279765625
225,176,34,68,0.198,Flare,1,1,1,1.2380000000000015
307,182,31,127,0.198,Flare,1,1,1,1.279765625
226,176,34,68,0.199,Flare,1,1,1,1.2420000000000015
307,182,31,127,0.199,Flare,1,1,1,1.279765625
227,176,34,68,0.2,Flare,1,1,1,1.2460000000000016
307,182,31,127,0.2,Flare,1,1,1,1.279765625
228,176,34,69,0.201,Flare,1,1,1,1.2510000000000017
307,182,31,127,0.201,Flare,1,1,1,1.279765625
229,176,34,68,0.202,Flare,1,1,1,1.2550000000000017
307,182,31,127,0.202,Flare,1,1,1,1.279765625
230,176,34,68,0.203,Flare,1,1,1,1.2590000000000017
307,182,31,127,0.203,Flare,1,1,1,1.279765625
231,176,34,68,0.204,Flare,1,1,1,1.2630000000000017
307,182,31,127,0.20400000000000001,Flare,1,1,1,1.279765625
232,176,34,68,0.205,Flare,1,1,1,1.2670000000000017
307,182,31,127,0.20500000000000002,Flare,1,1,1,1.279765625
233,176,34,70,0.206,Flare,1,1,1,1.2730000000000017
307,182,31,127,0.20600000000000002,Flare,1,1,1,1.279765625
234,176,34,68,0.207,Flare,1,1,1,1.2770000000000017
307,182,31,127,0.20700000000000002,Flare,1,1,1,1.279765625
235,176,34,69,0.208,Flare,1,1,1,1.2820000000000018
307,182,31,127,0.20800000000000002,Flare,1,1,1,1.279765625
236,176,34,69,0.209,Flare,1,1,1,1.2870000000000017
307,182,31,127,0.209,Flare,1,1,1,1.279765625
237,176,34,68,0.21,Flare,1,1,1,1.2910000000000017
307,182,31,127,0.21,Flare,1,1,1,1.279765625
238,176,34,70,0.211,Flare,1,1,1,1.2970000000000017
307,182,31,127,0.211,Flare,1,1,1,1.279765625
239,176,34,70,0.212,Flare,1,1,1,1.3090000000000017
307,182,31,127,0.212,Flare,1,1,1,1.279765625
239,176,34,70,0.213,Flare,1,1,1,1.3090000000000017
307,182,31,127,0.213,Flare,1,1,1,1.279765625
240,176,34,69,0.214,Flare,1,1,1,1.3140000000000018
307,182,31,127,0.214,Flare,1,1,1,1.279765625
242,176,34,69,0.215,Flare,1,1,1,1.3240000000000018
307,182,31,127,0.215,Flare,1,1,1,1.279765625
242,176,34,69,0.216,Flare,1,1,1,1.3240000000000018
307,182,31,127,0.216,Flare,1,1,1,1.279765625
244,176,34,71,0.217,Flare,1,1,1,1.3310000000000017
307,182,31,127,0.217,Flare,1,1,1,1.279765625
245,176,34,69,0.218,Flare,1,1,1,1.3360000000000016
307,182,31,127,0.218,Flare,1,1,1,1.279765625
246,176,34,70,0.219,Flare,1,1,1,1.3420000000000016
307,182,31,127,0.219,Flare,1,1,1,1.279765625
247,176,34,70,0.22,Flare,1,1,1,1.3480000000000016
307,182,31,127,0.22,Flare,1,1,1,1.279765625
248,176,34,69,0.221,Flare,1,1,1,1.3580000000000017
307,182,31,127,0.221,Flare,1,1,1,1.279765625
248,176,34,69,0.222,Flare,1,1,1,1.3580000000000017
307,182,31,127,0.222,Flare,1,1,1,1.279765625
249,176,34,71,0.223,Flare,1,1,1,1.3650000000000015
307,182,31,127,0.223,Flare,1,1,1,1.279765625
251,176,34,70,0.224,Flare,1,1,1,1.3710000000000016
307,182,31,127,0.224,Flare,1,1,1,1.279765625
252,176,34,70,0.225,Flare,1,1,1,1.3770000000000016
307,182,31,127,0.225,Flare,1,1,1,1.279765625
253,176,34,70,0.226,Flare,1,1,1,1.3830000000000016
307,182,31,127,0.226,Flare,1,1,1,1.279765625
254,176,34,72,0.227,Flare,1,1,1,1.3910000000000016
307,182,31,127,0.227,Flare,1,1,1,1.279765625
255,176,34,71,0.228,Flare,1,1,1,1.3980000000000015
307,182,31,127,0.228,Flare,1,1,1,1.279765625
256,176,34,70,0.229,Flare,1,1,1,1.4040000000000015
307,182,31,127,0.229,Flare,1,1,1,1.279765625
257,176,34,71,0.23,Flare,1,1,1,1.4110000000000014
307,182,31,127,0.23,Flare,1,1,1,1.279765625
258,176,34,71,0.231,Flare,1,1,1,1.4250000000000014
307,182,31,127,0.231,Flare,1,1,1,1.279765625
258,176,34,71,0.232,Flare,1,1,1,1.4250000000000014
307,182,31,127,0.232,Flare,1,1,1,1.279765625
260,176,34,71,0.233,Flare,1,1,1,1.4320000000000013
307,182,31,127,0.233,Flare,1,1,1,1.279765625
261,176,34,71,0.234,Flare,1,1,1,1.446000000000001
307,182,31,127,0.234,Flare,1,1,1,1.279765625
261,176,34,71,0.235,Flare,1,1,1,1.446000000000001
307,182,31,127,0.23500000000000001,Flare,1,1,1,1.279765625
